,Nome,Sobrenome,Nacionalidade,Posição, Clube,Liga,Idade,Ano em que nasceu,Jogos em que entrou,Jogos Iniciados,Minutos jogados,90 min jogados,Gols,Assist,G+A,Gols Normais,Penâltis Batidos,Penâltis Tentados,Cartões Amarelos,Cartões Vermelhos,Gols esperados,Gols normais previstos,Gols Assistidos Esperados,"Gols esperados,exceto pênaltis,+gols assistidos",Carregada Progressiva,Passes Progressivos,Passes Progressivos Recebidos,Gols/90min,Assis/90min,(Gols+Assis)/90min,Gols Normais/90min,(Gols normais+Assis)/90min,Gols previstos por 90min,Gols Assistidos esperados em 90min, Gols esperados+gols previstos em 90min,Gols normais previstos em 90min,"Gols esperados,exceto pênaltis,+gols assistidos em 90min"
2266,Stefano,Sensi, ITA,LT,Monza, Serie A,27,1995,25,20,1.505,16.7,3,1,4,3,0,0,7,0,1.4,1.4,2.1,"3,5",26,135,37,"0,18","0,06","0,24","0,18","0,24","0,08","0,13","0,21","0,08","0,21"
2267,Jaime,Seoane, ESP,LT,Getafe, La Liga,26,1997,15,2,309,3.4,0,0,0,0,0,0,0,0,0.1,0.1,0.3,"0,4",5,7,6,"0,00","0,00","0,00","0,00","0,00","0,02","0,08","0,11","0,02","0,11"
2268,Luigi,Sepe, ITA,G,Salernitana, Serie A,32,1991,17,17,1.530,17.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2269,Suat,Serdar, GER,LT,Hertha BSC, Bundesliga,26,1997,29,22,1.861,20.7,4,2,6,4,0,0,5,0,1.9,1.9,1.3,"3,3",31,74,46,"0,19","0,10","0,29","0,19","0,29","0,09","0,06","0,16","0,09","0,16"
2270,Leonardo,Sernicola, ITA,ZG,Cremonese, Serie A,25,1997,28,25,2.120,23.6,2,2,4,2,0,0,10,0,1.3,1.3,2.2,"3,5",57,59,84,"0,08","0,08","0,17","0,08","0,17","0,06","0,09","0,15","0,06","0,15"
2271,Ryan,Sessegnon,ENG,ZG,Tottenham,Premier League,22,2000,17,9,813,9.0,2,0,2,2,0,0,4,0,1.6,1.6,1.1,"2,7",24,22,64,"0,22","0,00","0,22","0,22","0,22","0,18","0,12","0,30","0,18","0,30"
2272,Stephan,El Shaarawy, ITA,"ZG,LT",Roma, Serie A,30,1992,26,11,1.298,14.4,5,1,6,5,0,0,3,0,4.1,4.1,0.9,"5,1",48,51,114,"0,35","0,07","0,42","0,35","0,42","0,29","0,06","0,35","0,29","0,35"
2273,Luke,Shaw,ENG,ZG,Manchester Utd,Premier League,27,1995,28,27,2.327,25.9,1,2,3,1,0,0,7,0,1.0,1.0,3.2,"4,2",52,122,68,"0,04","0,08","0,12","0,04","0,12","0,04","0,12","0,16","0,04","0,16"
2274,Jonjo,Shelvey,ENG,LT,Newcastle Utd,Premier League,31,1992,3,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,3,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2275,Jonjo,Shelvey,ENG,LT,Nott'ham Forest,Premier League,31,1992,8,6,540,6.0,0,0,0,0,0,0,2,0,0.2,0.2,0.3,"0,5",1,34,0,"0,00","0,00","0,00","0,00","0,00","0,03","0,05","0,08","0,03","0,08"
2276,Eldor,Shomurodov, UZB,AT,Spezia, Serie A,27,1995,13,8,745,8.3,1,1,2,1,0,0,1,0,2.8,2.8,1.4,"4,2",7,15,49,"0,12","0,12","0,24","0,12","0,24","0,34","0,17","0,50","0,34","0,50"
2277,Eldor,Shomurodov, UZB,AT,Roma, Serie A,27,1995,6,1,119,1.3,0,0,0,0,0,0,0,0,0.6,0.6,0.0,"0,6",3,4,15,"0,00","0,00","0,00","0,00","0,00","0,45","0,00","0,45","0,45","0,45"
2278,Kaj,Sierhuis, NED,"AT,LT",Reims, Ligue 1,25,1998,11,0,142,1.6,0,0,0,0,0,0,0,0,0.4,0.4,0.0,"0,4",4,3,21,"0,00","0,00","0,00","0,00","0,00","0,25","0,00","0,25","0,25","0,25"
2279,Vincent,Sierro, SUI,LT,Toulouse, Ligue 1,27,1995,11,4,409,4.5,0,0,0,0,0,0,2,0,0.3,0.3,0.4,"0,7",5,33,9,"0,00","0,00","0,00","0,00","0,00","0,07","0,09","0,16","0,07","0,16"
2280,Kiliann,Sildillia, FRA,"ZG,LT",Freiburg, Bundesliga,20,2002,26,22,1.925,21.4,0,2,2,0,0,0,4,1,0.8,0.8,0.7,"1,6",19,71,44,"0,00","0,09","0,09","0,00","0,09","0,04","0,03","0,07","0,04","0,07"
2281,André,Silva, POR,AT,RB Leipzig, Bundesliga,27,1995,30,19,1.670,18.6,4,3,7,4,0,0,3,0,9.2,9.2,2.9,"12,0",35,36,139,"0,22","0,16","0,38","0,22","0,38","0,49","0,15","0,65","0,49","0,65"
2282,Bernardo,Silva, POR,"LT,AT",Manchester City,Premier League,28,1994,32,23,2.109,23.4,4,5,9,4,0,0,4,0,2.2,2.2,3.1,"5,2",89,125,181,"0,17","0,21","0,38","0,17","0,38","0,09","0,13","0,22","0,09","0,22"
2283,Caio,Henrique Oliveira Silva, BRA,ZG,Monaco, Ligue 1,25,1997,31,29,2.615,29.1,1,9,10,1,0,0,3,0,0.7,0.7,4.8,"5,6",49,181,129,"0,03","0,31","0,34","0,03","0,34","0,02","0,17","0,19","0,02","0,19"
2284,David,Silva, ESP,LT,Real Sociedad, La Liga,37,1986,26,23,1.828,20.3,1,5,6,1,0,0,3,0,2.9,2.9,3.6,"6,4",66,153,117,"0,05","0,25","0,30","0,05","0,30","0,14","0,18","0,32","0,14","0,32"
2285,Rui,Silva, POR,G,Betis, La Liga,29,1994,26,26,2.340,26.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2286,Thiago,Silva, BRA,ZG,Chelsea,Premier League,38,1984,24,23,2.082,23.1,0,2,2,0,0,0,1,0,1.3,1.3,0.4,"1,7",4,93,2,"0,00","0,09","0,09","0,00","0,09","0,05","0,02","0,07","0,05","0,07"
2287,Marco,Silvestri, ITA,G,Udinese, Serie A,32,1991,34,34,3.060,34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2288,Abdallah,Sima, SEN,AT,Angers, Ligue 1,21,2001,30,15,1.476,16.4,4,1,5,4,0,0,0,0,4.2,4.2,2.1,"6,2",30,20,121,"0,24","0,06","0,30","0,24","0,30","0,25","0,13","0,38","0,25","0,38"
2289,Mohamed,Simakan, FRA,ZG,RB Leipzig, Bundesliga,23,2000,21,15,1.229,13.7,1,1,2,1,0,0,2,0,1.6,1.6,1.2,"2,8",25,77,61,"0,07","0,07","0,15","0,07","0,15","0,12","0,09","0,20","0,12","0,20"
2290,Giovanni,Simeone, ARG,AT,Napoli, Serie A,27,1995,21,1,335,3.7,3,0,3,3,0,0,1,0,1.1,1.1,0.8,"1,8",11,8,28,"0,81","0,00","0,81","0,81","0,81","0,28","0,20","0,49","0,28","0,49"
2291,Ellis,Simms,ENG,AT,Everton,Premier League,22,2001,10,2,224,2.5,1,0,1,1,0,0,0,0,0.9,0.9,0.1,"0,9",2,4,19,"0,40","0,00","0,40","0,40","0,40","0,34","0,03","0,37","0,34","0,37"
2292,Moses,Simon, NGA,"AT,LT",Nantes, Ligue 1,27,1995,30,26,2.153,23.9,5,4,9,4,1,1,3,0,4.2,3.2,3.4,"6,6",125,56,206,"0,21","0,17","0,38","0,17","0,33","0,17","0,14","0,32","0,13","0,28"
2293,Unai,Simón, ESP,G,Athletic Club, La Liga,25,1997,27,27,2.385,26.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,"0,0",0,2,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2294,Lassine,Sinayoko, MLI,"LT,AT",Auxerre, Ligue 1,23,1999,29,14,1.383,15.4,0,2,2,0,0,0,2,1,2.6,2.6,1.9,"4,4",44,65,132,"0,00","0,13","0,13","0,00","0,13","0,17","0,12","0,29","0,17","0,29"
2295,Wilfried,Singo, CIV,ZG,Torino, Serie A,22,2000,27,20,1.732,19.2,2,1,3,2,0,0,5,0,1.7,1.7,1.3,"3,1",44,59,82,"0,10","0,05","0,16","0,10","0,16","0,09","0,07","0,16","0,09","0,16"
2296,Luis,Sinisterra, COL,AT,Leeds United,Premier League,23,1999,19,13,867,9.6,5,0,5,5,0,0,3,1,3.7,3.7,0.4,"4,2",30,39,84,"0,52","0,00","0,52","0,52","0,52","0,39","0,04","0,43","0,39","0,43"
2297,Daley,Sinkgraven, NED,"ZG,LT",Leverkusen, Bundesliga,27,1995,12,4,344,3.8,0,2,2,0,0,0,1,0,0.2,0.2,1.3,"1,4",8,8,17,"0,00","0,52","0,52","0,00","0,52","0,04","0,33","0,37","0,04","0,37"
2298,Tobias,Sippel, GER,G,M'Gladbach, Bundesliga,35,1988,6,5,510,5.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2299,Hugo,Siquet, BEL,ZG,Freiburg, Bundesliga,20,2002,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2300,Salvatore,Sirigu, ITA,G,Fiorentina, Serie A,36,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2301,Ibrahima,Sissoko, FRA,LT,Strasbourg, Ligue 1,25,1997,22,9,1.011,11.2,0,1,1,0,0,0,0,0,0.6,0.6,0.3,"0,9",13,42,39,"0,00","0,09","0,09","0,00","0,09","0,06","0,03","0,08","0,06","0,08"
2302,Moussa,Sissoko, FRA,LT,Nantes, Ligue 1,33,1989,26,22,1.847,20.5,2,0,2,2,0,0,3,0,2.4,2.4,0.9,"3,3",32,103,69,"0,10","0,00","0,10","0,10","0,10","0,12","0,04","0,16","0,12","0,16"
2303,Tim,Skarke, GER,"ZG,LT",Union Berlin, Bundesliga,26,1996,3,0,53,0.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,"0,2",3,0,10,"0,00","0,00","0,00","0,00","0,00","0,39","0,02","0,41","0,39","0,41"
2304,Tim,Skarke, GER,"AT,LT",Schalke 04, Bundesliga,26,1996,7,5,359,4.0,1,1,2,1,0,0,0,0,0.5,0.5,0.9,"1,4",2,10,22,"0,25","0,25","0,50","0,25","0,50","0,14","0,21","0,35","0,14","0,35"
2305,Ellyes,Skhiri, TUN,LT,Köln, Bundesliga,28,1995,29,29,2.586,28.7,6,1,7,6,0,0,5,0,4.6,4.6,1.7,"6,3",46,148,49,"0,21","0,03","0,24","0,21","0,24","0,16","0,06","0,22","0,16","0,22"
2306,Oliver,Skipp,ENG,LT,Tottenham,Premier League,22,2000,20,15,1.252,13.9,1,0,1,1,0,0,6,0,0.3,0.3,0.6,"0,8",13,51,23,"0,07","0,00","0,07","0,07","0,07","0,02","0,04","0,06","0,02","0,06"
2307,Leo,Skiri Østigård, NOR,ZG,Napoli, Serie A,23,1999,6,3,329,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,"0,0",3,11,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2308,Łukasz,Skorupski, POL,G,Bologna, Serie A,32,1991,33,33,2.970,33.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2309,Robert,Skov, DEN,ZG,Hoffenheim, Bundesliga,26,1996,21,16,1.275,14.2,3,2,5,1,2,2,1,0,3.4,1.8,1.8,"3,6",42,45,94,"0,21","0,14","0,35","0,07","0,21","0,24","0,12","0,36","0,13","0,25"
2310,Milan,Škriniar, SVK,ZG,Inter, Serie A,28,1995,21,20,1.769,19.7,0,0,0,0,0,0,5,1,0.8,0.8,0.3,"1,1",16,81,10,"0,00","0,00","0,00","0,00","0,00","0,04","0,01","0,05","0,04","0,05"
2311,Naatan,Skyttä, FIN,LT,Toulouse, Ligue 1,21,2002,2,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,"0,1",1,3,2,"0,00","0,00","0,00","0,00","0,00","0,40","0,00","0,40","0,40","0,40"
2312,Islam,Slimani, ALG,AT,Brest, Ligue 1,34,1988,16,11,986,11.0,1,1,2,1,0,1,5,0,2.5,1.7,1.2,"2,9",11,26,61,"0,09","0,09","0,18","0,09","0,18","0,23","0,11","0,33","0,16","0,26"
2313,Chris,Smalling,ENG,ZG,Roma, Serie A,33,1989,29,28,2.583,28.7,3,1,4,3,0,0,7,0,1.5,1.5,0.4,"2,0",4,43,7,"0,10","0,03","0,14","0,10","0,14","0,05","0,01","0,07","0,05","0,07"
2314,Adam,Smith,ENG,ZG,Bournemouth,Premier League,32,1991,34,32,2.765,30.7,0,1,1,0,0,0,10,0,0.5,0.5,0.9,"1,4",23,80,39,"0,00","0,03","0,03","0,00","0,03","0,02","0,03","0,05","0,02","0,05"
2315,Emile,Smith Rowe,ENG,"LT,AT",Arsenal,Premier League,22,2000,10,0,142,1.6,0,1,1,0,0,0,0,0,0.3,0.3,0.6,"0,9",2,5,11,"0,00","0,63","0,63","0,00","0,63","0,17","0,38","0,55","0,17","0,55"
2316,Hrvoje,Smolčić, CRO,ZG,Eint Frankfurt, Bundesliga,22,2000,9,4,471,5.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,"0,2",0,18,1,"0,00","0,00","0,00","0,00","0,00","0,03","0,00","0,03","0,03","0,03"
2317,Cédric,Soares, POR,ZG,Arsenal,Premier League,31,1991,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",1,3,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2318,Cédric,Soares, POR,ZG,Fulham,Premier League,31,1991,6,2,198,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.3,"0,4",4,12,12,"0,00","0,00","0,00","0,00","0,00","0,03","0,13","0,16","0,03","0,16"
2319,Danilo,Soares, BRA,ZG,Bochum, Bundesliga,31,1991,23,23,1.766,19.6,0,0,0,0,0,0,6,0,0.0,0.0,1.3,"1,3",17,93,24,"0,00","0,00","0,00","0,00","0,00","0,00","0,06","0,07","0,00","0,07"
2320,Eduard,Sobol, UKR,ZG,Strasbourg, Ligue 1,28,1995,14,9,825,9.2,0,1,1,0,0,0,2,0,0.1,0.1,0.7,"0,8",16,29,49,"0,00","0,11","0,11","0,00","0,11","0,01","0,08","0,09","0,01","0,09"
2321,Rubén,Sobrino, ESP,"LT,AT",Cádiz, La Liga,30,1992,28,23,2.026,22.5,2,2,4,2,0,0,10,0,3.9,3.9,1.8,"5,7",35,36,64,"0,09","0,09","0,18","0,09","0,18","0,18","0,08","0,25","0,18","0,25"
2322,Alex,Sola, ESP,ZG,Real Sociedad, La Liga,23,1999,10,3,349,3.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,"0,2",8,4,19,"0,00","0,00","0,00","0,00","0,00","0,03","0,02","0,05","0,03","0,05"
2323,Dominic,Solanke,ENG,AT,Bournemouth,Premier League,25,1997,30,29,2.590,28.8,6,7,13,6,0,0,1,0,8.7,8.7,3.9,"12,6",62,41,149,"0,21","0,24","0,45","0,21","0,45","0,30","0,14","0,44","0,30","0,44"
2324,Augusto,Solari, ARG,LT,Celta Vigo, La Liga,31,1992,12,3,262,2.9,0,1,1,0,0,0,0,0,0.3,0.3,0.2,"0,5",5,12,14,"0,00","0,34","0,34","0,00","0,34","0,09","0,07","0,16","0,09","0,16"
2325,Ola,Solbakken, NOR,"LT,AT",Roma, Serie A,24,1998,11,4,319,3.5,1,1,2,1,0,0,1,0,0.5,0.5,0.3,"0,8",3,12,26,"0,28","0,28","0,56","0,28","0,56","0,14","0,09","0,22","0,14","0,22"
2326,Nikola,Soldo, CRO,ZG,Köln, Bundesliga,22,2001,7,6,593,6.6,0,0,0,0,0,0,1,0,0.6,0.6,0.0,"0,7",3,15,0,"0,00","0,00","0,00","0,00","0,00","0,10","0,00","0,10","0,10","0,10"
2327,Carlos,Soler, ESP,LT,Valencia, La Liga,26,1997,3,3,242,2.7,1,0,1,0,1,1,0,0,0.9,0.2,0.2,"0,4",3,13,7,"0,37","0,00","0,37","0,00","0,00","0,35","0,08","0,43","0,06","0,14"
2328,Carlos,Soler, ESP,LT,Paris S-G, Ligue 1,26,1997,23,14,1.138,12.6,3,2,5,3,0,0,0,0,1.6,1.6,1.4,"3,0",18,48,64,"0,24","0,16","0,40","0,24","0,40","0,13","0,11","0,24","0,13","0,24"
2329,François-Joseph,Sollacaro, FRA,G,Ajaccio, Ligue 1,29,1994,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2330,Manor,Solomon, ISR,AT,Fulham,Premier League,23,1999,16,4,523,5.8,4,0,4,4,0,0,0,0,1.1,1.1,0.3,"1,4",12,24,49,"0,69","0,00","0,69","0,69","0,69","0,18","0,05","0,24","0,18","0,24"
2331,Yann,Sommer, SUI,G,Bayern Munich, Bundesliga,34,1988,16,16,1.440,16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,"0,0",0,1,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2332,Yann,Sommer, SUI,G,M'Gladbach, Bundesliga,34,1988,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2333,Brandon,Soppy, FRA,ZG,Udinese, Serie A,21,2002,1,1,90,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,"0,3",4,4,4,"0,00","0,00","0,00","0,00","0,00","0,07","0,19","0,27","0,07","0,27"
2334,Brandon,Soppy, FRA,ZG,Atalanta, Serie A,21,2002,14,7,596,6.6,0,3,3,0,0,0,2,0,0.3,0.3,1.3,"1,6",23,32,34,"0,00","0,45","0,45","0,00","0,45","0,05","0,20","0,25","0,05","0,25"
2335,David,Soria, ESP,G,Getafe, La Liga,30,1993,33,33,2.970,33.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,"0,1",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2336,Roberto,Soriano, ITA,"AT,LT",Bologna, Serie A,32,1991,27,15,1.326,14.7,1,3,4,1,0,0,1,0,0.6,0.6,2.5,"3,1",30,56,66,"0,07","0,20","0,27","0,07","0,27","0,04","0,17","0,21","0,04","0,21"
2337,Borna,Sosa, CRO,ZG,Stuttgart, Bundesliga,25,1998,23,20,1.776,19.7,2,7,9,2,0,0,5,0,0.9,0.9,6.2,"7,2",53,111,142,"0,10","0,35","0,46","0,10","0,46","0,05","0,32","0,36","0,05","0,36"
2338,Joaquin,Sosa, URU,ZG,Bologna, Serie A,21,2002,9,6,598,6.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,"0,0",5,9,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2339,Hugo,Sotelo, ESP,LT,Celta Vigo, La Liga,19,2003,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,2,0,"0,00","0,00","0,00","0,00","0,00","0,20","0,00","0,20","0,20","0,20"
2340,Florian,Sotoca, FRA,"LT,AT",Lens, Ligue 1,32,1990,34,31,2.768,30.8,6,8,14,5,1,3,4,0,10.2,7.9,7.9,"15,7",44,168,266,"0,20","0,26","0,46","0,16","0,42","0,33","0,26","0,59","0,26","0,51"
2341,Riccardo,Sottil, ITA,AT,Fiorentina, Serie A,23,1999,16,8,758,8.4,0,2,2,0,0,0,1,0,1.0,1.0,1.1,"2,1",63,26,117,"0,00","0,24","0,24","0,00","0,24","0,12","0,13","0,25","0,12","0,25"
2342,Tomáš,Souček, CZE,LT,West Ham,Premier League,28,1995,34,30,2.668,29.6,2,3,5,2,0,0,3,0,3.7,3.7,1.9,"5,6",11,86,47,"0,07","0,10","0,17","0,07","0,17","0,12","0,06","0,19","0,12","0,19"
2343,Matìas,Soulé, ARG,"LT,AT",Juventus, Serie A,20,2003,13,4,419,4.7,1,0,1,1,0,0,0,0,1.5,1.5,0.8,"2,3",12,15,33,"0,21","0,00","0,21","0,21","0,21","0,33","0,18","0,50","0,33","0,50"
2344,Moussa,Soumano, FRA,AT,Ajaccio, Ligue 1,17,2005,10,4,390,4.3,1,0,1,1,0,0,2,0,0.4,0.4,0.2,"0,6",3,1,13,"0,23","0,00","0,23","0,23","0,23","0,10","0,05","0,15","0,10","0,15"
2345,Adama,Soumaoro, FRA,ZG,Bologna, Serie A,30,1992,23,22,1.867,20.7,0,0,0,0,0,0,5,1,0.3,0.3,0.0,"0,3",7,50,1,"0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,02","0,02","0,02"
2346,Boubakary,Soumaré, FRA,LT,Leicester City,Premier League,24,1999,23,17,1.359,15.1,0,0,0,0,0,0,9,0,0.0,0.0,0.3,"0,4",17,67,17,"0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,03","0,00","0,03"
2347,Arnaud,Souquet, FRA,"ZG,AT",Montpellier, Ligue 1,31,1992,12,3,361,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.5,"0,6",5,10,14,"0,00","0,00","0,00","0,00","0,00","0,01","0,13","0,15","0,01","0,15"
2348,Dyego,Sousa, POR,AT,Almería, La Liga,33,1989,16,2,390,4.3,0,1,1,0,0,0,1,0,0.7,0.7,0.8,"1,6",7,10,29,"0,00","0,23","0,23","0,00","0,23","0,16","0,20","0,36","0,16","0,36"
2349,Harry,Souttar, AUS,ZG,Leicester City,Premier League,24,1998,10,10,900,10.0,0,1,1,0,0,0,2,0,1.4,1.4,0.2,"1,6",6,28,4,"0,00","0,10","0,10","0,00","0,10","0,14","0,02","0,16","0,14","0,16"
2350,Vinicius,Souza, BRA,LT,Espanyol, La Liga,23,1999,30,27,2.343,26.0,0,1,1,0,0,0,9,1,0.5,0.5,0.6,"1,0",12,80,12,"0,00","0,04","0,04","0,00","0,04","0,02","0,02","0,04","0,02","0,04"
2351,Djibril,Sow, SUI,LT,Eint Frankfurt, Bundesliga,26,1997,29,27,2.388,26.5,4,0,4,4,0,0,7,0,1.6,1.6,0.8,"2,4",35,176,27,"0,15","0,00","0,15","0,15","0,15","0,06","0,03","0,09","0,06","0,09"
2352,Çağlar,Söyüncü, TUR,ZG,Leicester City,Premier League,26,1996,7,6,529,5.9,1,0,1,1,0,0,2,0,0.4,0.4,0.1,"0,5",5,12,0,"0,17","0,00","0,17","0,17","0,17","0,07","0,01","0,08","0,07","0,08"
2353,Kevin,Spadanuda, SUI,"LT,AT",Ajaccio, Ligue 1,26,1997,20,11,937,10.4,0,1,1,0,0,0,3,0,0.7,0.7,0.6,"1,3",17,17,53,"0,00","0,10","0,10","0,00","0,10","0,07","0,06","0,13","0,07","0,13"
2354,Djed,Spence,ENG,"AT,ZG",Tottenham,Premier League,22,2000,4,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,"0,1",2,0,2,"0,00","0,00","0,00","0,00","0,00","0,83","0,00","0,83","0,83","0,83"
2355,Djed,Spence,ENG,ZG,Rennes, Ligue 1,22,2000,8,7,573,6.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,"0,5",21,21,18,"0,00","0,00","0,00","0,00","0,00","0,06","0,02","0,08","0,06","0,08"
2356,Stijn,Spierings, NED,LT,Toulouse, Ligue 1,27,1996,33,32,2.867,31.9,2,0,2,2,0,0,4,0,1.8,1.8,2.1,"3,9",26,208,26,"0,06","0,00","0,06","0,06","0,06","0,06","0,07","0,12","0,06","0,12"
2357,Leonardo,Spinazzola, ITA,ZG,Roma, Serie A,30,1993,25,18,1.645,18.3,1,4,5,1,0,0,3,0,1.0,1.0,2.0,"3,0",105,61,86,"0,05","0,22","0,27","0,05","0,27","0,06","0,11","0,17","0,06","0,17"
2358,Marco,Sportiello, ITA,G,Atalanta, Serie A,31,1992,11,10,983,10.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,2,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2359,Jack,Stacey,ENG,ZG,Bournemouth,Premier League,27,1996,10,3,299,3.3,0,0,0,0,0,0,2,0,0.1,0.1,0.0,"0,1",9,2,15,"0,00","0,00","0,00","0,00","0,00","0,03","0,00","0,03","0,03","0,03"
2360,Anton,Stach, GER,LT,Mainz 05, Bundesliga,24,1998,27,19,1.821,20.2,1,4,5,1,0,0,4,0,2.0,2.0,3.5,"5,5",31,96,69,"0,05","0,20","0,25","0,05","0,25","0,10","0,17","0,27","0,10","0,27"
2361,Kostas,Stafylidis, GRE,"ZG,LT",Bochum, Bundesliga,29,1993,18,10,1.008,11.2,0,2,2,0,0,0,3,0,0.3,0.3,0.7,"1,1",9,26,14,"0,00","0,18","0,18","0,00","0,18","0,03","0,06","0,10","0,03","0,10"
2362,Jens,Stage, DEN,LT,Werder Bremen, Bundesliga,26,1996,30,19,1.675,18.6,3,2,5,3,0,0,4,0,2.6,2.6,1.5,"4,1",19,56,52,"0,16","0,11","0,27","0,16","0,27","0,14","0,08","0,22","0,14","0,22"
2363,Veit,Stange, GER,LT,Hertha BSC, Bundesliga,19,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2364,Josip,Stanišić, CRO,ZG,Bayern Munich, Bundesliga,23,2000,14,4,579,6.4,0,0,0,0,0,0,1,0,0.0,0.0,0.4,"0,4",12,66,35,"0,00","0,00","0,00","0,00","0,00","0,00","0,07","0,07","0,00","0,07"
2365,Junior,Stanislas,ENG,LT,Bournemouth,Premier League,33,1989,4,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,"0,2",0,4,5,"0,00","0,00","0,00","0,00","0,00","0,05","0,19","0,25","0,05","0,25"
2366,Jay,Stansfield,ENG,AT,Fulham,Premier League,20,2002,3,1,87,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,"0,3",2,0,4,"0,00","0,00","0,00","0,00","0,00","0,26","0,09","0,35","0,26","0,35"
2367,Niklas,Stark, GER,ZG,Werder Bremen, Bundesliga,28,1995,24,20,1.807,20.1,0,0,0,0,0,0,8,0,0.2,0.2,0.3,"0,5",9,61,3,"0,00","0,00","0,00","0,00","0,00","0,01","0,02","0,03","0,01","0,03"
2368,Jason,Steele,ENG,G,Brighton,Premier League,32,1990,10,10,900,10.0,0,1,1,0,0,0,1,0,0.0,0.0,0.1,"0,1",0,0,0,"0,00","0,10","0,10","0,00","0,10","0,00","0,01","0,01","0,00","0,01"
2369,Calvin,Stengs, NED,AT,Nice, Ligue 1,24,1998,4,3,212,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,"0,4",10,12,16,"0,00","0,00","0,00","0,00","0,00","0,12","0,05","0,17","0,12","0,17"
2370,Pascal,Stenzel, GER,ZG,Stuttgart, Bundesliga,27,1996,11,3,328,3.6,0,1,1,0,0,0,0,0,0.0,0.0,0.6,"0,6",3,12,5,"0,00","0,27","0,27","0,00","0,27","0,01","0,16","0,17","0,01","0,17"
